店铺名称,页面id,类别,品牌名称,品牌id,品牌logo,评分,平均价格,最低价格,所属地区,地区Id,纬度,经度,详细地址,楼层,地铁站id,停车信息,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜,是否小吃,有无外卖,上周订单数,历史订单数,wifi,支持预定
鼎极轩海鲜自助烤肉(小营店),6570878,综合自助,鼎极轩海鲜烤肉自助,1600513,http://p1.meituan.net/poi/f2c54e9690c0ce5edd96f7d8f6afd8cc51766.png,4.3,79,86.9,小营,14,39.994173,116.426578,朝阳区小营东路3号（凯基伦大厦三层）,,null,免费停车,单人晚餐86.9元，单人午/晚餐91.9元;,周一至周日 11:00-00:30  2019-02-04 10:30-22:00,010-84619799,743348,鼎极轩海鲜烤肉自助，以时尚的装修风格兴建的一家大型餐厅，以绿色健康饮食为主，坚持以诚信经营发展为理念，餐厅坐落于北京朝阳区小营东路比邻国家体育中心鸟巢，水立方北四环之旁；地理位置优越，交通便利！,,False,0,2544,743348,True,False
玫瑰花园自助烤肉(金源店),4955158,烤肉自助,玫瑰花园自助烤肉,27593,http://p1.meituan.net/poi/8f30ec7639c5e451a6007a2319b2b7cb16440.png,4.6,73,75,远大路,17,39.9602,116.288423,海淀区西顶路世纪金源二期居然之家3F,3,"1269,1268,",,其他75元，单人午/晚餐76元，单人午/晚餐82元，双人午/晚餐164元，[4]人午/晚餐326元，[6]人午/晚餐490元，[10]人午/晚餐815元，[15]人午/晚餐1220元，[20]人午/晚餐1630元;,"周六,周日 11:00-22:30  周一至周五 11:30-22:30",010-88871655/57128799,738313,,,False,0,4644,738313,True,False
彼尔森啤酒健康烤肉(火神庙国际商业中心店),6933056,综合自助,彼尔森,1727083,,4,59,59.6,黄村,4752,39.731466,116.343004,大兴区黄村东大街1号火神庙国际商业中心A座5层,5,"5267,191,",,单人晚餐59.6元;,周一至周日 11:00-21:00  非营业时段 2018-02-15至2018-02-17 全天,010-69259199,632616,,,False,0,4283,632616,True,False
玫瑰花园自助烤肉(青年路店),1528027,烤肉自助,玫瑰花园自助烤肉,27593,http://p1.meituan.net/poi/8f30ec7639c5e451a6007a2319b2b7cb16440.png,4.4,68,75,朝阳大悦城,14,39.933855,116.516479,朝阳区青年路西里3号院10号楼1层（近金凤成祥）,,,免费停车,其他75元，单人午/晚餐82元，双人午/晚餐164元，[4]人午/晚餐326元，[6]人午/晚餐490元;,"周六,周日 11:00-22:30  周一至周五 11:30-22:30",010-57117722,507151,玫瑰花园自助烤肉菜品多样，食材新鲜，优雅的环境，在享受美食的同时，享受品位，享受生活。多种美味肉品，新鲜十足，嫩爽无限，让你无可挑剔，肉质超有弹性超有韧劲，超多肉汁，鲜而不腻，肥瘦搭配还是恰当无比，简直就是鬼斧神工，这个味觉层次不一般。,,False,0,3019,507151,True,False
金真子纸上烤肉(双桥店),2412338,韩式烤肉,金真子纸上烤肉,26705,http://p0.meituan.net/poi/baa954aa0bc7481d869a3440690c7a12124134.png,4.2,63,63,双桥,14,39.913479,116.581379,朝阳区双桥地铁站北面北岸商业广场3楼（双桥地铁站北侧）,3,"175,",,其他63元;,周一至周日 11:00-22:00,010-85376628/85376728,394163,金真子的这两家分店都在京城北的回龙观。住在观里的人们忙碌了一天，想要吃上一顿丰盛美食的时候，他们会来到这里。几个好友相聚的时候，他们也会来到这里。招待客人的时候，也会来到这里。实惠、丰盛，是金真子纸上烤肉生意红火的秘籍，宾至如归的体验，是回龙观人民认同它的另个原因。,,False,0,1367,394163,True,False
金语轩烤肉火锅自助餐(扑满山店),3298301,烤肉自助,,0,,3.7,58,65,刘家窑/宋家庄,20,39.845566,116.427007,丰台区宋庄路71号扑满山商场3层,3,"88,158,1281,",,单人午餐65元，单人晚餐72元;,周一至周日 11:00-21:30,010-87687607,340935,金语轩是一家提供韩式自助烤肉服务的连锁餐饮企业，公司颠覆传统韩式烧烤和自助餐的运营模式，提出了“烤肉超市”这一独特、极有创意的全新运营模式。一直遵循注重菜品质量，服务优质，价格实在的原则，经过不断努力已经在同行业及消费者心中建立了良好的口碑。餐厅环境温馨舒适，清新雅致，韩国文化气息浓郁。进入就能感受到另一个国度生活方式的不同品位与礼仪。而且服务很周到，就想象一下韩剧里招待客人的礼仪，超贵宾级的体验呢。,,False,0,1771,340935,False,False
鑫海汇海鲜自助烤肉(大红门店),4456282,烧烤,鑫海汇海鲜烤肉自助,1867219,,3.9,61,68.05,洋桥/木樨园,20,39.854256,116.398857,丰台区大红门街道南苑路5号（福海国际大厦9楼）,,"4873,4872,4882,1283,",,单人午/晚餐68元;,周一至周日 11:00-22:00,010-87877881,303925,鑫海汇自助烧烤是一家大型餐饮连锁企业，是目前国内颇具规模的韩式健康烤肉餐厅。配置有先进的BLO烤炉，烤出的肉质细腻纯正，同时还汇聚了巴西钎烤、日式铁板烧、北京烤鸭等特色烧烤，辅以精美新潮的各式档口，集中、西美食特色。彰显现代都市时尚简约的装修，幽雅的环境，浪漫的音乐，为您营造美好轻松的就餐氛围，哈尔滨鑫海汇自助烤肉餐厅是您缓解工作压力，开怀畅吃畅饮的佳选之地。,,False,0,0,303925,True,False
鼎极轩自助烤肉(四道口店),41031617,烤肉自助,鼎极轩海鲜烤肉自助,1600513,http://p1.meituan.net/poi/f2c54e9690c0ce5edd96f7d8f6afd8cc51766.png,4.9,81,86.9,大钟寺,17,39.959601,116.346244,海淀区四道口路2号京果商厦B座2楼,2,"131,",,单人晚餐86.9元，单人午/晚餐91.9元;,"周一至周五 11:00-00:30  周六,周日 10:30-00:30  2019-02-04 10:30-22:00",010-53567011/56134328,297670,,,False,0,1663,297670,True,False
永远爱小海鲜自助烤肉火锅,6399484,海鲜自助,永远爱海鲜自助烤肉,1796451,,3.6,62,89,天通苑,4750,40.060175,116.415413,昌平区立汤路186号龙德广场5层,5,"68,69,139,",免费停车,单人午/晚餐89元;,周一至周日 11:30-21:00,010-84819345,287893,非常靠谱,,False,0,0,287893,True,False
戈拿旺巴西烤肉(菜市口店),266404,烤肉自助,戈拿旺巴西烤肉,25509,http://p0.meituan.net/poi/9699257f5a7493bbfdfc4645639d5f92295756.png,4.6,90,118,菜市口/陶然亭,16,39.888387,116.371393,西城区广安门内大街6号枫桦豪景西配楼（地铁菜市口D出口）,,"1465,60,",,单人午餐118元，单人晚餐118元;,周一至周日 11:30-14:00 17:30-21:30  2019-02-04至2019-02-07 休息,010-63560050/63570085,280719,戈拿旺巴西烤肉是一家以拉丁为主题的南美文化餐厅，让客人在享受美味佳肴的同时，更多地了解南美文化，感受拉丁舞的激情互动。多年来戈拿旺本着客户至上、诚信、真诚的服务理念，让每一位客人在吃出品味，吃出健康的同时体验到真正的快乐，很多客人都成为戈拿旺忠实的朋友。 正宗巴西烤肉的用餐风格，肉食动物的最爱。正宗巴西烤肉的用餐风格，享受各种美味的新鲜沙拉和香浓的奶油汤，红菜汤等来开启您的烤肉之旅，紧跟其后的是鲜美的巴西烤肉主餐，百余种自助餐搭配巴西 烤肉免费享用。这里就是“肉食动物的最爱”，烤肉“一轮一轮地上”。三角肉“超好吃”，牛肩峰“非常嫩”，火鸡卷“咸咸的，很有嚼头”。自助台上各种色拉 也“挺丰富”，很能解腻。环境“还不错”，“很宽敞”，即使不爱吃这些东西，“光待着也不难受”。服务“热情”、“主动”，表演“精彩”。适合“一票朋友 热闹疯狂”。,,False,0,737,280719,True,False
